,overall
110868,59
100795,70
102016,69
101457,69
43961,56
74384,62
54786,65
85917,68
14020,53
66016,72
13338,55
65498,72
103591,67
12048,58
20909,67
61933,52
27869,56
97614,75
30025,79
47499,75
39826,64
2180,71
102409,68
70745,66
34955,69
4156,68
97946,75
92388,61
54004,66
6106,65
43965,56
3301,69
114536,80
63919,75
113720,51
71795,65
103316,67
62967,79
40673,63
87357,66
48654,72
95159,55
67424,70
32515,72
129163,59
66554,71
94010,58
80825,75
45003,53
67095,70
18590,70
2086,72
3771,68
117369,72
75747,60
104887,66
59269,60
4477,67
3739,68
76087,60
5280,66
115264,76
78987,85
15477,79
95289,54
52380,68
7364,64
53053,67
70699,66
81103,74
23320,64
95712,52
38919,65
53360,67
84883,69
84823,69
39782,64
17588,72
44443,55
35518,68
96667,79
110201,60
55423,65
57120,63
120232,68
93035,60
44116,56
15156,82
45083,52
127199,62
86927,67
1311,74
81603,73
38920,65
112642,55
51157,69
76666,58
97832,75
6716,64
43500,57
35755,68
4442,67
35090,69
100550,70
6949,64
62145,51
58173,62
92984,60
86530,67
74218,62
95326,54
83660,70
123977,65
105161,65
122877,66
56090,64
128852,60
113345,53
6598,65
46059,80
122965,66
92571,60
93539,59
99442,72
9599,61
41121,62
79819,78
19921,68
110347,60
38553,65
12062,58
48974,72
59246,60
108113,63
85687,68
16344,75
20445,67
101616,69
124082,65
2122,72
124268,65
75462,61
88218,65
122220,66
60351,58
119974,69
89527,64
62150,51
86534,67
122197,66
27286,58
38489,65
117153,72
66978,70
10510,60
83100,71
125234,64
36610,67
120120,68
21132,67
51892,68
70237,67
95981,50
74817,62
54589,65
79493,79
21930,66
76904,58
109288,61
57118,63
106414,64
27788,56
33103,71
38109,65
67735,69
54672,65
44726,54
33143,71
121550,67
108343,62
98372,74
61598,54
67628,70
78199,53
74498,62
103504,67
8559,62
78714,50
111352,58
64052,75
109674,61
102685,68
80324,76
7148,64
119293,69
83347,70
73989,63
101745,69
74046,63
74951,61
112136,57
90013,64
115579,75
832,76
102810,68
39812,64
38396,65
27401,57
87304,66
1202,74
88766,65
108976,62
62739,81
49582,71
14726,49
97983,75
55327,65
35841,68
2527,71
46142,79
44698,54
103239,67
114235,83
12451,57
22759,65
94294,57
6684,64
99631,72
101073,70
61367,55
124796,64
94536,57
64537,74
21857,66
67179,70
124769,64
113475,52
119793,69
29455,86
131365,53
52377,68
129870,58
23796,63
106122,65
79652,78
100931,70
102328,68
3143,69
81415,73
96508,80
54789,65
69707,67
32111,73
30977,75
120485,68
116889,73
121407,67
92001,61
58420,61
32074,73
93242,59
78453,52
96892,78
28748,53
56348,64
8852,62
